n,t,x,y
0,-1,640,360
0,0,640,360
0,1,640,360
0,2,640,360
0,3,1017,375
0,4,999,377
0,5,946,381
0,6,928,385
0,7,910,388
0,8,892,390
0,9,873,393
0,10,855,393
0,11,839,393
0,12,822,393
0,13,807,391
0,14,791,388
0,15,776,385
0,16,762,381
0,17,749,376
0,18,738,370
0,19,726,364
0,20,716,356
0,21,706,348
0,22,698,338
0,23,689,329
0,24,683,318
0,25,677,307
0,26,678,295
0,27,674,282
0,28,666,269
0,29,665,257
0,30,665,243
0,31,666,231
0,32,666,220
0,33,668,211
0,34,677,205
0,35,679,194
0,36,685,184
0,37,693,174
0,38,701,166
0,39,710,157
0,40,719,149
0,41,730,140
0,42,742,130
0,43,754,120
0,44,767,111
0,45,779,105
0,46,791,97
0,47,804,91
0,48,816,86
0,49,829,82
0,50,840,80
0,51,853,77
0,52,865,77
0,53,878,78
0,54,891,79
0,55,904,82
0,56,916,85
0,57,927,89
0,58,938,94
0,59,949,101
0,60,960,109
0,61,970,117
0,62,979,126
0,63,989,135
0,64,998,145
0,65,1009,155
0,66,1019,163
0,67,1030,171
0,68,1040,178
0,69,1052,183
0,70,1064,188
0,71,1075,192
0,72,1086,196
0,73,1098,197
0,74,1108,197
0,75,1118,198
0,76,1127,196
0,77,1136,194
0,78,1145,190
0,79,1153,186
0,80,1162,180
0,81,1171,173
0,82,1180,166
0,83,1189,157
0,84,1200,150
0,85,1212,142
0,86,1224,134
0,87,1236,127
0,88,1249,121
0,89,1260,117
0,90,1267,114
0,91,1274,109
0,92,1274,109
1,19,1209,147
1,20,1219,136
1,21,1231,129
1,22,1244,122
1,23,1260,114
1,24,1270,109
2,19,192,60
2,20,209,58
2,21,226,58
2,22,241,59
2,23,257,60
2,24,273,62
2,25,288,65
2,26,304,68
2,27,317,72
2,28,331,77
2,29,344,83
2,30,356,89
2,31,367,96
2,32,377,103
2,33,386,111
2,34,394,119
2,35,401,127
2,36,406,135
2,37,411,144
2,38,415,152
2,39,419,161
2,40,422,169
2,41,427,178
2,42,422,187
2,43,421,194
2,44,420,202
2,45,425,209
2,46,417,216
2,47,414,222
2,48,411,229
2,49,407,234
2,50,403,239
2,51,399,244
2,52,394,248
2,53,394,252
2,54,392,254
